DOCUMENTO,PESO
002.html,5.139920045688179
003.html,2.8776978417266186
004.html,3.125
007.html,6.435911303407247
008.html,3.051643192488263
009.html,6.240786240786241
010.html,7.874015748031496
011.html,10.34097261039687
012.html,2.3890784982935154
015.html,3.252032520325203
016.html,5.2631578947368425
017.html,0.7246376811594203
018.html,0.9803921568627451
019.html,8.26888756692445
002.html,4.169046259280411
004.html,0.8928571428571429
007.html,4.164413196322337
008.html,1.1737089201877935
009.html,3.5872235872235874
010.html,3.937007874015748
011.html,2.7948574622694244
014.html,0.9433962264150944
015.html,2.032520325203252
016.html,1.8306636155606408
017.html,0.7246376811594203
018.html,1.9607843137254901
019.html,3.5296450525480862
020.html,4.838709677419355
002.html,3.3123929183323817
004.html,1.3392857142857142
007.html,4.236524247340905
008.html,2.347417840375587
009.html,3.488943488943489
010.html,3.937007874015748
011.html,3.0743432084963667
012.html,2.04778156996587
015.html,2.032520325203252
016.html,2.745995423340961
017.html,3.6231884057971016
018.html,0.49019607843137253
019.html,2.8157842554035297
020.html,1.6129032258064515
002.html,3.0553969160479726
003.html,2.8776978417266186
004.html,1.3392857142857142
005.html,0.2824858757062147
007.html,2.43374797187669
008.html,2.816901408450704
009.html,2.6535626535626538
010.html,1.1811023622047243
011.html,3.5215204024594744
012.html,3.7542662116040955
015.html,1.6260162601626016
016.html,1.8306636155606408
017.html,2.1739130434782608
019.html,2.3993654570692047
020.html,1.6129032258064515
002.html,1.5705311250713878
004.html,0.8928571428571429
007.html,2.3616369208581216
008.html,0.9389671361502347
009.html,2.2604422604422605
010.html,1.7716535433070866
011.html,1.5092230296254892
012.html,0.3412969283276451
015.html,1.6260162601626016
016.html,0.6864988558352403
017.html,2.1739130434782608
018.html,0.49019607843137253
019.html,3.1528851873884594
020.html,3.225806451612903
002.html,1.941747572815534
003.html,0.7194244604316546
007.html,1.7667207499549307
008.html,0.704225352112676
009.html,1.9164619164619165
010.html,0.7874015748031497
011.html,1.732811626607043
015.html,0.4065040650406504
